normalized,conf,journal
3,ITCS,Algorithmica
2,ITCS,Quantum
2,ITCS,Comput. Complex.
35,LATIN,IACR Cryptol. ePrint Arch.
27,LATIN,Algorithmica
24,LATIN,Theor. Comput. Sci.
5,LATIN,Comput. Geom.
3,LATIN,Discret. Appl. Math.
3,LATIN,Theory Comput. Syst.
3,LATIN,SIAM J. Discret. Math.
2,LATIN,Inf. Comput.
2,LATIN,Electron. Colloquium Comput. Complex.
26,LICS,Log. Methods Comput. Sci.
22,LICS,Inf. Comput.
16,LICS,ACM Trans. Comput. Log.
8,LICS,Ann. Pure Appl. Log.
8,LICS,J. ACM
7,LICS,Theor. Comput. Sci.
4,LICS,SIAM J. Comput.
3,LICS,J. Symb. Log.
3,LICS,Math. Struct. Comput. Sci.
3,LICS,Electron. Colloquium Comput. Complex.
2,LICS,J. Comput. Syst. Sci.
2,LICS,ICALP
2,LICS,TheoretiCS
30,MFCS,Theor. Comput. Sci.
12,MFCS,Inf. Comput.
10,MFCS,Electron. Colloquium Comput. Complex.
10,MFCS,J. Comput. Syst. Sci.
8,MFCS,Algorithmica
6,MFCS,ACM Trans. Comput. Theory
4,MFCS,Discret. Appl. Math.
4,MFCS,Theory Comput. Syst.
4,MFCS,SIAM J. Discret. Math.
3,MFCS,Acta Informatica
3,MFCS,Fundam. Informaticae
2,MFCS,Log. Methods Comput. Sci.
2,MFCS,SIAM J. Comput.
2,MFCS,RAIRO Theor. Informatics Appl.
2,MFCS,ACM Trans. Comput. Log.
2,MFCS,Comput. Complex.
2,MFCS,Inf. Process. Lett.
1,MFCS,Math. Syst. Theory
1,MFCS,J. Discrete Algorithms
1,MFCS,J. Algorithms
1,MFCS,Int. J. Found. Comput. Sci.
47,PODC,Distributed Comput.
11,PODC,J. ACM
9,PODC,SIAM J. Comput.
8,PODC,IACR Cryptol. ePrint Arch.
5,PODC,ACM SIGOPS Oper. Syst. Rev.
4,PODC,Inf. Comput.
3,PODC,Theor. Comput. Sci.
3,PODC,SPAA
3,PODC,Algorithmica
3,PODC,IEEE Trans. Parallel Distributed Syst.
3,PODC,Ad Hoc Networks
3,PODC,ACM Trans. Algorithms
2,PODC,J. Parallel Distributed Comput.
2,PODC,J. Comput. Syst. Sci.
100,SEA,ACM J. Exp. Algorithmics
100,SOCS,AAAI
23,SODA,ACM Trans. Algorithms
19,SODA,SIAM J. Comput.
9,SODA,J. Algorithms
7,SODA,Algorithmica
7,SODA,Electron. Colloquium Comput. Complex.
6,SODA,SIAM J. Discret. Math.
5,SODA,Random Struct. Algorithms
4,SODA,Discret. Comput. Geom.
4,SODA,J. ACM
3,SODA,Math. Oper. Res.
2,SODA,Math. Program.
2,SODA,J. Comput. Syst. Sci.
2,SODA,Comb.
2,SODA,Theor. Comput. Sci.
2,SODA,IEEE Trans. Inf. Theory
2,SODA,Games Econ. Behav.
2,SODA,IACR Cryptol. ePrint Arch.
2,SODA,Comb. Probab. Comput.
2,SODA,J. Comb. Theory B
2,SODA,Comput. Geom.
2,SODA,Theory Comput.
1,SODA,Inf. Comput.
1,SODA,J. Sched.
1,SODA,Oper. Res.
1,SODA,Networks
1,SODA,TheoretiCS
1,SODA,Int. J. Comput. Geom. Appl.
34,SOFSEM,Theor. Comput. Sci.
13,SOFSEM,Acta Informatica
11,SOFSEM,J. Comput. Syst. Sci.
11,SOFSEM,Discret. Appl. Math.
10,SOFSEM,RAIRO Theor. Informatics Appl.
8,SOFSEM,Theory Comput. Syst.
8,SOFSEM,Int. J. Found. Comput. Sci.
8,SOFSEM,IACR Cryptol. ePrint Arch.
20,STACS,Theory Comput. Syst.
14,STACS,Electron. Colloquium Comput. Complex.
13,STACS,Theor. Comput. Sci.
8,STACS,J. Comput. Syst. Sci.
8,STACS,Inf. Comput.
7,STACS,Algorithmica
7,STACS,SIAM J. Discret. Math.
7,STACS,SIAM J. Comput.
5,STACS,ACM Trans. Comput. Theory
3,STACS,ACM Trans. Algorithms
2,STACS,Discret. Appl. Math.
2,STACS,RAIRO Theor. Informatics Appl.
2,STACS,Log. Methods Comput. Sci.
2,STACS,J. Algorithms
2,STACS,Comput. Complex.
2,STACS,"Forschungsberichte, TU Munich"
2,STACS,Comput. Geom.
2,STACS,Random Struct. Algorithms
2,STACS,Discret. Comput. Geom.
2,STACS,ACM Trans. Comput. Log.
1,STACS,Discret. Math. Theor. Comput. Sci.
21,SWAT,Algorithmica
12,SWAT,J. Comput. Syst. Sci.
9,SWAT,Theor. Comput. Sci.
7,SWAT,J. Algorithms
7,SWAT,IEEE Trans. Computers
6,SWAT,Nord. J. Comput.
